PID,MfgrName,ProductName,CatName,RetailPrice,MaxDiscount
79,Winfropanover International ,Tupwerax,Air Purifier,327.11,0.24
79,Winfropanover International ,Tupwerax,DVD,327.11,0.24
79,Winfropanover International ,Tupwerax,Recording Equipment,327.11,0.24
80,Parpickor  ,Thruwerommex,Printer,209.48,0.33
80,Parpickor  ,Thruwerommex,Video Camera,209.48,0.33
81,Cipvenistor  Group,Tiperopan,Phone,212.75,0.61
82,Unwerpegicator WorldWide ,Unwerentor,Projector,333.9,0.34
82,Unwerpegicator WorldWide ,Unwerentor,Recording Equipment,333.9,0.34
83,Varjubower  Corp.,Reglibicator,Projector,333.32,0.36
84,Supcadantor  Group,Upsapewan,Bluray,60.03,0.33
85,Lomnipover  ,Zeepebazz,Recording Equipment,47.53,0.54
85,Lomnipover  ,Zeepebazz,Vacuum Cleaner,47.53,0.54
86,Adzapex Direct Group,Varhupamex,Computer,475.32,0.08
86,Adzapex Direct Group,Varhupamex,TV,475.32,0.08
87,Parnipan Holdings ,Incadedgar,Computer,304.86,0.66
88,Recadedin Direct ,Moncadover,Battery,158.73,0.66
89,Endmunistor WorldWide ,Frotanover,Car Audio,451.76,0.27
89,Endmunistor WorldWide ,Frotanover,DVD,451.76,0.27
89,Endmunistor WorldWide ,Frotanover,Refridgerator,451.76,0.27
90,Klisapeficator International Company,Groglibax,DVD,325.28,0
91,Dopsipplentor  Corp.,Tupvenicator,Battery,313.15,0
91,Dopsipplentor  Corp.,Tupvenicator,MP3 Player,313.15,0
91,Dopsipplentor  Corp.,Tupvenicator,Printer,313.15,0
92,Rapjubover Holdings ,Inwerefistor,Speaker,313.17,0.35
92,Rapjubover Holdings ,Inwerefistor,Tool,313.17,0.35
93,Klijubower  ,Endtumax,Car Audio,93.05,0.52
93,Klijubower  ,Endtumax,GPS,93.05,0.52
93,Klijubower  ,Endtumax,Video Camera,93.05,0.52
94,Cipbanover WorldWide ,Tiprobex,Computer,5.5,0.12
94,Cipbanover WorldWide ,Tiprobex,Projector,5.5,0.12
94,Cipbanover WorldWide ,Tiprobex,Speaker,5.5,0.12
95,Unpebewin Direct Corp.,Supsipamicator,Microwave,74.94,0.31
95,Unpebewin Direct Corp.,Supsipamicator,Video Camera,74.94,0.31
96,Supquestar Holdings Corp.,Dopzapewazz,Fax,344.91,0.45
96,Supquestar Holdings Corp.,Dopzapewazz,Refridgerator,344.91,0.45
97,Tupfropazz Holdings Corp.,Partumilax,DVD,94.58,0.54
97,Tupfropazz Holdings Corp.,Partumilax,Printer,94.58,0.54
97,Tupfropazz Holdings Corp.,Partumilax,Recording Equipment,94.58,0.54
98,Vartanover  ,Trusapupentor,Fax,447.04,0.77
99,Thrupickadicator WorldWide ,Frobanimor,Battery,316.27,0.9
99,Thrupickadicator WorldWide ,Frobanimor,Car Audio,316.27,0.9
99,Thrupickadicator WorldWide ,Frobanimor,Tool,316.27,0.9
100,Retumicower  ,Surglibewistor,Phone,310.13,0.89
100,Retumicower  ,Surglibewistor,Video Camera,310.13,0.89
100,Retumicower  ,Surglibewistor,Video Game,310.13,0.89
101,Tupkilplower Direct ,Rapdiman,Speaker,160.3,0.55
101,Tupkilplower Direct ,Rapdiman,Video Camera,160.3,0.55
102,Parjuban Holdings ,Tipquestazz,Camera Lens,406.33,0.8
102,Parjuban Holdings ,Tipquestazz,Vacuum Cleaner,406.33,0.8
103,Klisipadower  Corp.,Tipquestover,Fax,168.32,0.48
103,Klisipadower  Corp.,Tipquestover,Printer,168.32,0.48
104,Lomglibower Holdings ,Endwerpedgax,CD,164.09,0.3
105,Emnipentor Holdings ,Doppebantor,Air Purifier,163.39,0.79
105,Emnipentor Holdings ,Doppebantor,Battery,163.39,0.79
105,Emnipentor Holdings ,Doppebantor,Bluray,163.39,0.79
106,Haprobex  Group,Cipmunilantor,Camera Lens,154.07,0.79
106,Haprobex  Group,Cipmunilantor,Printer,154.07,0.79
106,Haprobex  Group,Cipmunilantor,Projector,154.07,0.79
107,Cipquestonax Holdings ,Klicadackicator,Projector,35.83,0.5
108,Tupericover Holdings ,Supjubamazz,Fax,402.69,0.82
109,Bartaneficator WorldWide ,Cipvenopex,Fax,261.17,0.03
109,Bartaneficator WorldWide ,Cipvenopex,Tool,261.17,0.03
110,Winsipicator  Inc,Suptanover,Computer,28.85,0.29
110,Winsipicator  Inc,Suptanover,GPS,28.85,0.29
110,Winsipicator  Inc,Suptanover,Vacuum Cleaner,28.85,0.29
111,Zeeerommower  Company,Monsapanex,Fax,51.99,0.26
112,Rappickover WorldWide Company,Hapwerpor,CD,386.48,0.39
112,Rappickover WorldWide Company,Hapwerpor,DVD,386.48,0.39
112,Rappickover WorldWide Company,Hapwerpor,Video Camera,386.48,0.39
113,Endpickaquower International ,Upkilar,Satellite Radio,8.89,0.05
114,Upquestin Holdings Inc,Enddudefin,Camera,63.51,0.83
114,Upquestin Holdings Inc,Enddudefin,Computer,63.51,0.83
114,Upquestin Holdings Inc,Enddudefin,GPS,63.51,0.83
115,Indudedgan Holdings ,Gropickedicator,Fax,393.2,0.79
116,Remunedicator  ,Qwifropepicator,CD,145.82,0.66
117,Retanar  ,Tuphupentor,Car Audio,265.41,0.12
117,Retanar  ,Tuphupentor,Speaker,265.41,0.12
117,Retanar  ,Tuphupentor,Vacuum Cleaner,265.41,0.12
118,Endpebazz Direct Group,Tiprobilax,CD,204.12,0.02
118,Endpebazz Direct Group,Tiprobilax,Refridgerator,204.12,0.02
119,Haperax Direct ,Thrutanor,Tool,212.41,0.13
119,Haperax Direct ,Thrutanor,Video Game,212.41,0.13
120,Kliwerimazz Holdings Group,Zeefropexar,GPS,39.42,0.37
120,Kliwerimazz Holdings Group,Zeefropexar,Projector,39.42,0.37
120,Kliwerimazz Holdings Group,Zeefropexar,Video Camera,39.42,0.37
121,Tiptumin  Company,Trupebefover,Washer,480.35,0.51
122,Endbanimex International Corp.,Zeeglibopor,CD,174.55,0.22
122,Endbanimex International Corp.,Zeeglibopor,DVD,174.55,0.22
123,Barnipistor  ,Raprobicator,Camera Lens,5.25,0.02
123,Barnipistor  ,Raprobicator,Phone,5.25,0.02
123,Barnipistor  ,Raprobicator,Vacuum Cleaner,5.25,0.02
124,Klimunegex Holdings Inc,Adwerover,Air Conditioner,398.46,0.86
124,Klimunegex Holdings Inc,Adwerover,CD,398.46,0.86
124,Klimunegex Holdings Inc,Adwerover,Microwave,398.46,0.86
125,Zeeerinar Direct ,Zeetumentor,Air Conditioner,329.51,0.68
125,Zeeerinar Direct ,Zeetumentor,Washer,329.51,0.68
126,Monnipistor  ,Varcadistor,Video Camera,462.42,0.29
126,Monnipistor  ,Varcadistor,Washer,462.42,0.29
127,Zeewerpistor Holdings ,Zeerobimar,Camera,462.53,0.85
127,Zeewerpistor Holdings ,Zeerobimar,Washer,462.53,0.85
128,Frowerupar  ,Lomsipamower,GPS,81.93,0.25
128,Frowerupar  ,Lomsipamower,Printer,81.93,0.25
128,Frowerupar  ,Lomsipamower,TV,81.93,0.25
129,Tiptinar  Inc,Updimexax,Washer,259.55,0.21
130,Upkilicex Holdings Inc,Rapweronantor,Battery,499.67,0.29
131,Varkilamover WorldWide ,Klisipar,Dryer,299.52,0.37
131,Varkilamover WorldWide ,Klisipar,DVD,299.52,0.37
131,Varkilamover WorldWide ,Klisipar,Satellite Radio,299.52,0.37
132,Upsipazz Holdings Inc,Remunimax,Air Conditioner,304.15,0.19
133,Truglibazz Direct ,Lomquestomman,Printer,233.88,0.56
133,Truglibazz Direct ,Lomquestomman,Speaker,233.88,0.56
134,Lomglibower Holdings ,Rerobentor,Fax,17.97,0.3
135,Zeekilax  ,Vardudantor,DVD,50.18,0.84
136,Tipwerimentor Holdings ,Surdimomman,Battery,306.41,0.29
136,Tipwerimentor Holdings ,Surdimomman,Video Camera,306.41,0.29
137,Upsapexan  Group,Adpickedgentor,CD,166.58,0.42
137,Upsapexan  Group,Adpickedgentor,Dryer,166.58,0.42
137,Upsapexan  Group,Adpickedgentor,Fax,166.58,0.42
138,Adsipistor Direct ,Surfropax,Bluray,170.23,0.07
138,Adsipistor Direct ,Surfropax,Scanner,170.23,0.07
138,Adsipistor Direct ,Surfropax,Speaker,170.23,0.07
139,Rapweregicator International ,Unglibommicator,Air Conditioner,396.64,0.67
139,Rapweregicator International ,Unglibommicator,Tool,396.64,0.67
140,Endpickaquower International ,Lomtanan,Dryer,393.46,0.05
140,Endpickaquower International ,Lomtanan,Phone,393.46,0.05
141,Qwiwerpistor WorldWide ,Tipjubexantor,Bluray,440.5,0.04
141,Qwiwerpistor WorldWide ,Tipjubexantor,Camera,440.5,0.04
142,Adpickar International ,Zeehupadantor,Fax,402.17,0.09
142,Adpickar International ,Zeehupadantor,MP3 Player,402.17,0.09
142,Adpickar International ,Zeehupadantor,TV,402.17,0.09
143,Hapweran International ,Upzapor,GPS,397.55,0.65
143,Hapweran International ,Upzapor,Tool,397.55,0.65
144,Thrusipupistor Direct ,Barcadaquazz,Video Game,423.9,0.78
145,Tiprobex  ,Varzapaquan,Printer,274.29,0
146,Cipfropex International ,Surtinefor,Speaker,426.68,0
146,Cipfropex International ,Surtinefor,Tool,426.68,0
146,Cipfropex International ,Surtinefor,TV,426.68,0
147,Suptanan  Corp.,Adkilazz,Battery,305.28,0.58
147,Suptanan  Corp.,Adkilazz,Bluray,305.28,0.58
148,Endbanar WorldWide ,Tuphupinor,Air Purifier,30.54,0.32
148,Endbanar WorldWide ,Tuphupinor,Battery,30.54,0.32
148,Endbanar WorldWide ,Tuphupinor,Dryer,30.54,0.32
149,Endmunewicator  Group,Unjubupistor,Camera,112.29,0
149,Endmunewicator  Group,Unjubupistor,CD,112.29,0
149,Endmunewicator  Group,Unjubupistor,Microwave,112.29,0
150,Thrududover Direct Company,Lomdudupor,Air Purifier,429.12,0.22
150,Thrududover Direct Company,Lomdudupor,Phone,429.12,0.22
150,Thrududover Direct Company,Lomdudupor,Vacuum Cleaner,429.12,0.22
151,Tupdudar Direct ,Untanazz,Air Purifier,80.5,0.35
151,Tupdudar Direct ,Untanazz,Car Audio,80.5,0.35
151,Tupdudar Direct ,Untanazz,Phone,80.5,0.35
152,Endpickimicator  ,Tupvenonin,Microwave,390.46,0.54
153,Barpebistor WorldWide ,Tipfropentor,Air Purifier,235.63,0.9
153,Barpebistor WorldWide ,Tipfropentor,CD,235.63,0.9
153,Barpebistor WorldWide ,Tipfropentor,Tool,235.63,0.9
154,Lombanazz  ,Tuphupackazz,Bluray,277.85,0.05
154,Lombanazz  ,Tuphupackazz,Recording Equipment,277.85,0.05
154,Lombanazz  ,Tuphupackazz,Satellite Radio,277.85,0.05
155,Endgliban  ,Zeevenover,Battery,329.79,0.73
155,Endgliban  ,Zeevenover,Car Audio,329.79,0.73
156,Varpickefentor WorldWide ,Varhupentor,DVD,485.75,0.04
156,Varpickefentor WorldWide ,Varhupentor,Phone,485.75,0.04
156,Varpickefentor WorldWide ,Varhupentor,Scanner,485.75,0.04
157,Endmunicator  ,Lomtinicator,Scanner,402.08,0.02
157,Endmunicator  ,Lomtinicator,Washer,402.08,0.02
158,Rapfropistor Direct ,Dopmunax,Phone,269.86,0.45
158,Rapfropistor Direct ,Dopmunax,Scanner,269.86,0.45
159,Upnipommower International ,Rapkilepicator,Bluray,334.58,0.53
159,Upnipommower International ,Rapkilepicator,Speaker,334.58,0.53
160,Frotinaquar Direct Group,Trunipin,Projector,200.97,0.7
160,Frotinaquar Direct Group,Trunipin,Video Camera,200.97,0.7
161,Trupebeficator Direct Company,Emwerover,Car Audio,191.54,0.33
161,Trupebeficator Direct Company,Emwerover,Printer,191.54,0.33
162,Sursipewentor  ,Lomwerador,Fax,453.9,0.8
163,Klisipor  ,Endjubicover,Phone,144.14,0.64
164,Adtumower International ,Endfropamentor,Printer,261.5,0.14
164,Adtumower International ,Endfropamentor,Video Game,261.5,0.14
165,Tupcadover WorldWide Corp.,Hapsipomman,Battery,229.33,0.45
165,Tupcadover WorldWide Corp.,Hapsipomman,Recording Equipment,229.33,0.45
165,Tupcadover WorldWide Corp.,Hapsipomman,TV,229.33,0.45
166,Varerax Holdings Corp.,Dopdimover,Recording Equipment,247.84,0.19
167,Cipsapentor International ,Upwerex,Scanner,153.6,0.72
167,Cipsapentor International ,Upwerex,Video Game,153.6,0.72
168,Untumicator WorldWide Corp.,Varcadex,Recording Equipment,490.92,0.83
169,Montanonor Direct Corp.,Tuptumower,Car Audio,14.32,0.76
169,Montanonor Direct Corp.,Tuptumower,GPS,14.32,0.76
169,Montanonor Direct Corp.,Tuptumower,Vacuum Cleaner,14.32,0.76
170,Endglibedin International ,Qwitumicax,Battery,87.79,0.58
170,Endglibedin International ,Qwitumicax,Microwave,87.79,0.58
170,Endglibedin International ,Qwitumicax,Phone,87.79,0.58
171,Inrobin International ,Winquesticator,Computer,479.24,0.5
172,Rapjubover Holdings ,Invenower,Camera,96.18,0.35
172,Rapjubover Holdings ,Invenower,Car Audio,96.18,0.35
172,Rapjubover Holdings ,Invenower,Microwave,96.18,0.35
173,Kliericator International ,Grobanor,Video Camera,307.48,0.52
174,Surerepin Direct Corp.,Qwipebplistor,Refridgerator,318.96,0.85
174,Surerepin Direct Corp.,Qwipebplistor,Scanner,318.96,0.85
174,Surerepin Direct Corp.,Qwipebplistor,Speaker,318.96,0.85
175,Supquestollazz Holdings Corp.,Emfropexex,GPS,98.92,0.9
175,Supquestollazz Holdings Corp.,Emfropexex,Video Camera,98.92,0.9
176,Hapmunentor Holdings ,Zeehupex,Fax,79.18,0.35
176,Hapmunentor Holdings ,Zeehupex,Recording Equipment,79.18,0.35
177,Trujubax  Corp.,Frohupover,Scanner,276.99,0.8
178,Truvenopantor  ,Uphupicator,Battery,81.35,0.57
178,Truvenopantor  ,Uphupicator,Car Audio,81.35,0.57
178,Truvenopantor  ,Uphupicator,Washer,81.35,0.57
179,Trurobax Direct Company,Emquestollantor,Fax,125.17,0.7
179,Trurobax Direct Company,Emquestollantor,Projector,125.17,0.7
179,Trurobax Direct Company,Emquestollantor,Vacuum Cleaner,125.17,0.7
180,Varfropan Holdings ,Adbanex,Recording Equipment,402.83,0
180,Varfropan Holdings ,Adbanex,Vacuum Cleaner,402.83,0
180,Varfropan Holdings ,Adbanex,Washer,402.83,0
181,Rapglibonazz  ,Adrobinan,Bluray,158.14,0.77
181,Rapglibonazz  ,Adrobinan,CD,158.14,0.77
182,Uptumicator WorldWide ,Monvenepazz,Computer,432.99,0.9
182,Uptumicator WorldWide ,Monvenepazz,GPS,432.99,0.9
182,Uptumicator WorldWide ,Monvenepazz,Vacuum Cleaner,432.99,0.9
183,Emsapower WorldWide ,Monjubentor,Satellite Radio,469.63,0.31
184,Lomkilex Holdings Inc,Bardimex,Car Audio,330.43,0.79
185,Winpickower  ,Hapdimor,Computer,420.17,0.29
185,Winpickower  ,Hapdimor,Video Game,420.17,0.29
186,Parpickicentor  Inc,Monjubor,Bluray,409.06,0.83
186,Parpickicentor  Inc,Monjubor,Car Audio,409.06,0.83
186,Parpickicentor  Inc,Monjubor,Satellite Radio,409.06,0.83
187,Parpebewax International ,Unrobin,Camera,69.52,0.2
187,Parpebewax International ,Unrobin,GPS,69.52,0.2
188,Emdudistor  ,Trunipplazz,DVD,456.04,0.05
188,Emdudistor  ,Trunipplazz,GPS,456.04,0.05
188,Emdudistor  ,Trunipplazz,Video Game,456.04,0.05
189,Cippebimicator  Corp.,Suprobimin,CD,188.19,0.1
189,Cippebimicator  Corp.,Suprobimin,Computer,188.19,0.1
190,Dopbanollentor Holdings ,Upsapamar,Computer,64.43,0.77
191,Truzapazz Direct ,Survenor,GPS,404.33,0.25
191,Truzapazz Direct ,Survenor,Microwave,404.33,0.25
191,Truzapazz Direct ,Survenor,Satellite Radio,404.33,0.25
192,Dopwerpin  ,Monvenentor,Speaker,396.72,0.31
193,Unpickazz WorldWide ,Emvenicator,MP3 Player,335.65,0.63
193,Unpickazz WorldWide ,Emvenicator,Tool,335.65,0.63
194,Parpebefex  ,Winquestollax,MP3 Player,196.67,0.66
195,Qwidimilicator  ,Grosapor,Scanner,202.91,0.1
196,Dopveninentor Holdings ,Varpickentor,Satellite Radio,486.6,0.62
196,Dopveninentor Holdings ,Varpickentor,Tool,486.6,0.62
197,Tipsapopex WorldWide ,Klipickollax,Air Conditioner,259.03,0.79
197,Tipsapopex WorldWide ,Klipickollax,Air Purifier,259.03,0.79
197,Tipsapopex WorldWide ,Klipickollax,Printer,259.03,0.79
198,Supfropicicator Direct Corp.,Winsapupover,Tool,137.05,0.65
199,Hapvenantor International Company,Cipvenimower,Refridgerator,195.57,0.34
200,Adsapedex WorldWide Company,Hapwerimicator,Speaker,27.45,0.36
200,Adsapedex WorldWide Company,Hapwerimicator,Video Camera,27.45,0.36
200,Adsapedex WorldWide Company,Hapwerimicator,Video Game,27.45,0.36
201,Hapfropentor International Group,Rapsapower,Vacuum Cleaner,274.08,0.84
201,Hapfropentor International Group,Rapsapower,Washer,274.08,0.84
202,Uppebor  Company,Winrobommistor,Air Conditioner,314.36,0.54
202,Uppebor  Company,Winrobommistor,MP3 Player,314.36,0.54
202,Uppebor  Company,Winrobommistor,TV,314.36,0.54
203,Surquestilistor  Corp.,Retumamentor,Speaker,17.22,0.4
203,Surquestilistor  Corp.,Retumamentor,Vacuum Cleaner,17.22,0.4
203,Surquestilistor  Corp.,Retumamentor,Video Camera,17.22,0.4
204,Adtanollor  Corp.,Parjubollor,Dryer,25.5,0.54
204,Adtanollor  Corp.,Parjubollor,Projector,25.5,0.54
204,Adtanollor  Corp.,Parjubollor,Video Camera,25.5,0.54
205,Rehupadar Direct ,Varglibin,Camera Lens,449.89,0.68
205,Rehupadar Direct ,Varglibin,Dryer,449.89,0.68
205,Rehupadar Direct ,Varglibin,Refridgerator,449.89,0.68
206,Vartanazz International ,Tipwerpin,Computer,484.31,0.4
206,Vartanazz International ,Tipwerpin,Projector,484.31,0.4
206,Vartanazz International ,Tipwerpin,Scanner,484.31,0.4
207,Qwizapaquan  Inc,Doptumadower,MP3 Player,83.98,0.37
208,Zeetanazz  ,Grosapower,Recording Equipment,416.67,0.78
208,Zeetanazz  ,Grosapower,TV,416.67,0.78
208,Zeetanazz  ,Grosapower,Washer,416.67,0.78
