Product,Date,SalePrice
22148,2000-01-22,67.53
23228,2000-01-22,298.63
73,2000-01-23,35.64
824,2000-01-23,188.56
1901,2000-01-23,304.78
3875,2000-01-23,230.28
4477,2000-01-23,225.01
5609,2000-01-23,1
9074,2000-01-23,85.21
12378,2000-01-23,43.5
13139,2000-01-23,116.89
15280,2000-01-23,235.46
18471,2000-01-23,433.66
18722,2000-01-23,138.69
25231,2000-01-23,2012.96
981,2000-01-24,220.42
1135,2000-01-24,370.72
1485,2000-01-24,53.8
1863,2000-01-24,139.32
3317,2000-01-24,112.51
4010,2000-01-24,195.53
5298,2000-01-24,136.74
9558,2000-01-24,410.01
18906,2000-01-24,68.68
19948,2000-01-24,226.92
1883,2000-01-25,312.83
3968,2000-01-25,122.27
5343,2000-01-25,326.48
5494,2000-01-25,169.82
8768,2000-01-25,358.53
8888,2000-01-25,92.95
11618,2000-01-25,143.72
13900,2000-01-25,149.04
13972,2000-01-25,372.15
14959,2000-01-25,260.37
15565,2000-01-25,255.87
16634,2000-01-25,191.12
18389,2000-01-25,294.42
20775,2000-01-25,321.6
25026,2000-01-25,1287.14
657,2000-01-26,253.72
1824,2000-01-26,7.61
1998,2000-01-26,246.49
7870,2000-01-26,221.96
15926,2000-01-26,88.2
19299,2000-01-26,93.52
19445,2000-01-26,21.03
20420,2000-01-26,215.08
20646,2000-01-26,80.65
21140,2000-01-26,92.9
598,2000-01-27,129.69
2084,2000-01-27,3.71
2573,2000-01-27,63.24
3601,2000-01-27,172.32
3748,2000-01-27,198.24
3756,2000-01-27,190.58
4439,2000-01-27,39.41
5861,2000-01-27,9.59
9388,2000-01-27,164.65
17778,2000-01-27,365.65
23240,2000-01-27,101.53
23793,2000-01-27,27.55
1148,2000-01-28,287.23
3321,2000-01-28,451.68
4294,2000-01-28,128.81
7481,2000-01-28,222.66
9191,2000-01-28,36.43
10465,2000-01-28,178
11250,2000-01-28,251.68
11346,2000-01-28,69.59
15339,2000-01-28,329.31
16973,2000-01-28,158.34
17176,2000-01-28,134.99
18829,2000-01-28,198.54
19660,2000-01-28,51.45
23978,2000-01-28,66.47
25292,2000-01-28,3122.07
1550,2000-01-29,88.77
4729,2000-01-29,122.02
7177,2000-01-29,352.94
7334,2000-01-29,33.08
11338,2000-01-29,125.11
14443,2000-01-29,37.94
15244,2000-01-29,34.03
16953,2000-01-29,188.09
2028,2000-01-30,28.19
5097,2000-01-30,131.8
8762,2000-01-30,343.27
10424,2000-01-30,98.35
12356,2000-01-30,90.22
14776,2000-01-30,28.46
17417,2000-01-30,324.6
20142,2000-01-30,37.92
20225,2000-01-30,50.93
20893,2000-01-30,27.65
21391,2000-01-30,87.72
21680,2000-01-30,97.86
23139,2000-01-30,66.36
1253,2000-01-31,142.65
1813,2000-01-31,415.25
3549,2000-01-31,206.16
3602,2000-01-31,103.83
4415,2000-01-31,137.51
5099,2000-01-31,210.11
5432,2000-01-31,78.51
9799,2000-01-31,493.17
10214,2000-01-31,53.53
11958,2000-01-31,366.9
15332,2000-01-31,1.06
17868,2000-01-31,325.22
18255,2000-01-31,140.02
19230,2000-01-31,155.25
19375,2000-01-31,174.39
22726,2000-01-31,405.38
24724,2000-01-31,407.63
1099,2000-02-01,480.17
1564,2000-02-01,16.2
4189,2000-02-01,489.7
6025,2000-02-01,109.47
7210,2000-02-01,214.6
10221,2000-02-01,328.31
10745,2000-02-01,208.75
18539,2000-02-01,388.5
20016,2000-02-01,148.75
21747,2000-02-01,28.46
22181,2000-02-01,411.9
22345,2000-02-01,401.46
464,2000-02-02,285.13
3351,2000-02-02,6.64
3675,2000-02-02,278.62
8533,2000-02-02,296.81
14993,2000-02-02,46.14
15438,2000-02-02,54.8
18537,2000-02-02,232.74
21509,2000-02-02,39.15
21790,2000-02-02,22.99
22298,2000-02-02,70.45
24514,2000-02-02,40.04
608,2000-02-03,235.98
3085,2000-02-03,356.28
4020,2000-02-03,42.86
5542,2000-02-03,221.94
7046,2000-02-03,198.34
9563,2000-02-03,52.18
10456,2000-02-03,265.95
14930,2000-02-03,313.95
16240,2000-02-03,141.57
17096,2000-02-03,195.81
18822,2000-02-03,105.08
20367,2000-02-03,14.36
22931,2000-02-03,109.15
1031,2000-02-04,402.59
5721,2000-02-04,54.6
5796,2000-02-04,426.86
6070,2000-02-04,259.06
8595,2000-02-04,184.19
14589,2000-02-04,387.6
23168,2000-02-04,338.16
24251,2000-02-04,188.54
24401,2000-02-04,169.85
1406,2000-02-05,90.13
1852,2000-02-05,136.64
2611,2000-02-05,49.13
3443,2000-02-05,106.07
3570,2000-02-05,81.98
5832,2000-02-05,235.28
10676,2000-02-05,318.36
10702,2000-02-05,78.52
11103,2000-02-05,177.7
14692,2000-02-05,163.18
18045,2000-02-05,26.59
23812,2000-02-05,135.15
435,2000-02-06,53.95
631,2000-02-06,221.07
1212,2000-02-06,104.51
3924,2000-02-06,61.03
5886,2000-02-06,173.1
6846,2000-02-06,167.13
8293,2000-02-06,69.32
9030,2000-02-06,387.93
13018,2000-02-06,394.51
15004,2000-02-06,169.45
17336,2000-02-06,262.56
17481,2000-02-06,3.58
20192,2000-02-06,249.95
265,2000-02-07,379.88
334,2000-02-07,119.4
399,2000-02-07,99.78
4504,2000-02-07,56.04
6090,2000-02-07,208.07
8023,2000-02-07,48.41
9028,2000-02-07,5.26
9229,2000-02-07,95.28
20803,2000-02-07,260.56
21028,2000-02-07,81.4
1488,2000-02-08,54.65
3499,2000-02-08,207.48
7974,2000-02-08,106.54
8412,2000-02-08,206.52
8784,2000-02-08,200.74
9454,2000-02-08,350.67
13591,2000-02-08,195.39
16201,2000-02-08,153.89
20809,2000-02-08,37.12
21677,2000-02-08,41.94
22505,2000-02-08,52.1
89,2000-02-09,433.81
389,2000-02-09,106.96
2053,2000-02-09,293.94
2301,2000-02-09,10.43
3346,2000-02-09,247.06
4475,2000-02-09,185.1
5602,2000-02-09,293.97
6784,2000-02-09,136.52
8576,2000-02-09,36.37
9602,2000-02-09,172.23
18093,2000-02-09,210.96
1038,2000-02-10,167.99
1156,2000-02-10,130.36
1822,2000-02-10,246.25
3083,2000-02-10,196.4
8951,2000-02-10,124.55
11128,2000-02-10,369.29
14172,2000-02-10,101.41
16345,2000-02-10,190.83
17147,2000-02-10,139.21
17844,2000-02-10,315.14
21975,2000-02-10,250.65
24419,2000-02-10,45
4016,2000-02-11,302.93
5023,2000-02-11,259.95
9423,2000-02-11,46.22
19327,2000-02-11,337.67
19955,2000-02-11,47.53
20788,2000-02-11,33.54
22184,2000-02-11,341.62
23146,2000-02-11,88.9
23891,2000-02-11,15.86
869,2000-02-12,55.38
1829,2000-02-12,111.3
2080,2000-02-12,483.59
3658,2000-02-12,58.04
4307,2000-02-12,236.06
10497,2000-02-12,178.46
11324,2000-02-12,163.46
19750,2000-02-12,106.93
24820,2000-02-12,85.83
399,2000-02-13,127.95
1064,2000-02-13,26.43
5006,2000-02-13,166.28
6399,2000-02-13,25.12
9871,2000-02-13,79.42
10252,2000-02-13,62.8
10320,2000-02-13,317.04
12595,2000-02-13,282.25
13402,2000-02-13,168.95
13879,2000-02-13,48.29
18381,2000-02-13,160.78
19120,2000-02-13,8.66
20652,2000-02-13,355.83
21055,2000-02-13,393.27
23251,2000-02-13,386.33
23657,2000-02-13,94.18
23672,2000-02-13,310.96
190,2000-02-14,17.7
1233,2000-02-14,28.58
2661,2000-02-14,64.1
3443,2000-02-14,96.86
8704,2000-02-14,331.75
9070,2000-02-14,415.22
9866,2000-02-14,66.17
17868,2000-02-14,248.21
20074,2000-02-14,33.69
432,2000-02-15,295.61
5668,2000-02-15,233.09
6490,2000-02-15,236.68
7558,2000-02-15,60.7
10457,2000-02-15,62.15
11387,2000-02-15,46.44
11922,2000-02-15,1.98
14512,2000-02-15,390.03
18841,2000-02-15,167.36
20345,2000-02-15,187.69
24195,2000-02-15,116.55
24682,2000-02-15,203.77
252,2000-02-16,352.39
4383,2000-02-16,168.13
7855,2000-02-16,279.13
8260,2000-02-16,47.8
8588,2000-02-16,71.12
8897,2000-02-16,96.14
11751,2000-02-16,99.8
12632,2000-02-16,87.45
12642,2000-02-16,48.91
13568,2000-02-16,289.26
13681,2000-02-16,44.24
13861,2000-02-16,63.11
13953,2000-02-16,7.37
18482,2000-02-16,121.01
18771,2000-02-16,204.3
25139,2000-02-16,4857.8
33,2000-02-17,258.46
358,2000-02-17,221.35
1281,2000-02-17,9.51
6429,2000-02-17,171.55
6594,2000-02-17,45.47
6951,2000-02-17,146.43
6976,2000-02-17,272.89
10028,2000-02-17,290.51
15720,2000-02-17,146.64
17019,2000-02-17,344.41
21921,2000-02-17,236.11
24747,2000-02-17,99.87
3467,2000-02-18,58.52
3633,2000-02-18,2.37
5119,2000-02-18,239.49
6971,2000-02-18,168.59
7415,2000-02-18,202.67
7871,2000-02-18,259.22
9981,2000-02-18,224.92
11892,2000-02-18,243.73
11964,2000-02-18,332.38
15335,2000-02-18,99.99
17082,2000-02-18,141.87
22986,2000-02-18,228.07
24038,2000-02-18,236.06
137,2000-02-19,130.42
264,2000-02-19,53.87
439,2000-02-19,117.64
2436,2000-02-19,252.86
2880,2000-02-19,76.05
3656,2000-02-19,206.18
3781,2000-02-19,47.79
6379,2000-02-19,37.7
7698,2000-02-19,176.4
8449,2000-02-19,10.89
9853,2000-02-19,247.28
12247,2000-02-19,197.71
12573,2000-02-19,371.59
15741,2000-02-19,148.25
16347,2000-02-19,353.3
18711,2000-02-19,332.68
20768,2000-02-19,23.11
20819,2000-02-19,264.47
24766,2000-02-19,51.39
263,2000-02-20,274.43
684,2000-02-20,78.37
1318,2000-02-20,156.09
3971,2000-02-20,335.72
4236,2000-02-20,387.89
4556,2000-02-20,65.11
6732,2000-02-20,304.93
8849,2000-02-20,160.53
11305,2000-02-20,36.63
13550,2000-02-20,436.98
14033,2000-02-20,50.28
14728,2000-02-20,82.24
18470,2000-02-20,134.5
18828,2000-02-20,223.16
22320,2000-02-20,34.93
22847,2000-02-20,292.14
23091,2000-02-20,101.28
24563,2000-02-20,193.43
140,2000-02-21,389.53
312,2000-02-21,65.93
1876,2000-02-21,258.94
4715,2000-02-21,383.19
5221,2000-02-21,426.24
7907,2000-02-21,69.14
10189,2000-02-21,347.94
10594,2000-02-21,150.11
11019,2000-02-21,329.91
11387,2000-02-21,46.44
11735,2000-02-21,233.03
12017,2000-02-21,134.07
17200,2000-02-21,114.75
17227,2000-02-21,259.18
21321,2000-02-21,91.73
22831,2000-02-21,60.4
24501,2000-02-21,425.56
908,2000-02-22,13.29
1727,2000-02-22,103.96
4752,2000-02-22,436.19
7263,2000-02-22,30.44
8765,2000-02-22,71.09
9086,2000-02-22,113.2
9724,2000-02-22,264.92
22181,2000-02-22,411.9
23303,2000-02-22,56.4
24729,2000-02-22,287.67
778,2000-02-23,4.62
5236,2000-02-23,171.61
6353,2000-02-23,155.45
6527,2000-02-23,49.38
9323,2000-02-23,310.27
9627,2000-02-23,207.05
9860,2000-02-23,229.07
13296,2000-02-23,274.29
14001,2000-02-23,48.97
15101,2000-02-23,54.12
17371,2000-02-23,44.72
18180,2000-02-23,334.61
20041,2000-02-23,138.51
22709,2000-02-23,114.12
598,2000-02-24,133.25
2504,2000-02-24,98.8
4201,2000-02-24,116.19
4492,2000-02-24,241.97
4710,2000-02-24,179.64
4921,2000-02-24,459.07
5614,2000-02-24,189.63
7869,2000-02-24,373.8
9243,2000-02-24,20.68
9746,2000-02-24,91.69
11346,2000-02-24,69.21
13997,2000-02-24,306.05
14067,2000-02-24,12.14
16170,2000-02-24,432.76
23384,2000-02-24,29.33
887,2000-02-25,30.8
1231,2000-02-25,247.87
2185,2000-02-25,48.39
4271,2000-02-25,367.11
5095,2000-02-25,485.26
6917,2000-02-25,71.48
8175,2000-02-25,87.95
8789,2000-02-25,9.57
13213,2000-02-25,159.46
14601,2000-02-25,110.97
16173,2000-02-25,354.21
18726,2000-02-25,133.12
20179,2000-02-25,80.86
21516,2000-02-25,189.71
22460,2000-02-25,44.99
419,2000-02-26,227.75
610,2000-02-26,87.97
936,2000-02-26,205.93
988,2000-02-26,417.12
1922,2000-02-26,341.49
2227,2000-02-26,141.95
2908,2000-02-26,189.05
3356,2000-02-26,125.35
4566,2000-02-26,345.17
5701,2000-02-26,110.76
5859,2000-02-26,284.57
7281,2000-02-26,44.62
8720,2000-02-26,195.79
11930,2000-02-26,431.39
12471,2000-02-26,42.72
15389,2000-02-26,228.11
18074,2000-02-26,181.79
18587,2000-02-26,370.57
18628,2000-02-26,44.74
24858,2000-02-26,47.24
885,2000-02-27,68.66
960,2000-02-27,298.49
3403,2000-02-27,391.44
4264,2000-02-27,155.71
7286,2000-02-27,92.12
9524,2000-02-27,360.68
12043,2000-02-27,403.89
13273,2000-02-27,81.33
13893,2000-02-27,243.88
16850,2000-02-27,245.44
17076,2000-02-27,133.44
18213,2000-02-27,418.26
20065,2000-02-27,288.45
20116,2000-02-27,304.61
20165,2000-02-27,322.17
21366,2000-02-27,85.57
23357,2000-02-27,199.53
529,2000-02-28,177.17
971,2000-02-28,87.47
1828,2000-02-28,125.22
2688,2000-02-28,219.5
3080,2000-02-28,127.96
8191,2000-02-28,121.83
8628,2000-02-28,83.87
8770,2000-02-28,24.59
9749,2000-02-28,485.02
9788,2000-02-28,172.92
12326,2000-02-28,235.62
12885,2000-02-28,224.68
14205,2000-02-28,28.16
17210,2000-02-28,93.57
21988,2000-02-28,326.68
23344,2000-02-28,37.66
1902,2000-02-29,457.75
3027,2000-02-29,160.83
7091,2000-02-29,157.84
7797,2000-02-29,99.32
7966,2000-02-29,86.99
9871,2000-02-29,57.82
9985,2000-02-29,39.56
10766,2000-02-29,70.28
11203,2000-02-29,56.18
11464,2000-02-29,39.3
11698,2000-02-29,93.27
18940,2000-02-29,111.24
23701,2000-02-29,298.83
24012,2000-02-29,8.03
25162,2000-02-29,4077.31
1180,2000-03-01,180.77
1580,2000-03-01,145.29
1618,2000-03-01,114.05
2717,2000-03-01,435.09
3313,2000-03-01,71.28
3509,2000-03-01,112.97
4348,2000-03-01,29.23
7988,2000-03-01,253.93
8783,2000-03-01,353.21
8950,2000-03-01,49.78
13385,2000-03-01,155.43
15039,2000-03-01,186.36
16783,2000-03-01,107.97
17545,2000-03-01,322.41
17763,2000-03-01,82.19
19246,2000-03-01,276.5
22001,2000-03-01,70.24
2575,2000-03-02,77.5
3798,2000-03-02,25.17
4534,2000-03-02,25.16
5396,2000-03-02,385.87
6034,2000-03-02,10.3
6351,2000-03-02,81.76
7048,2000-03-02,104.07
8342,2000-03-02,30.53
8401,2000-03-02,180.12
9931,2000-03-02,41.24
10344,2000-03-02,68.76
11132,2000-03-02,238.53
12495,2000-03-02,436.45
14631,2000-03-02,255.58
17177,2000-03-02,61.15
21616,2000-03-02,20.06
22676,2000-03-02,69.72
245,2000-03-03,197.35
2757,2000-03-03,77.81
4508,2000-03-03,25.29
4838,2000-03-03,58.81
6309,2000-03-03,316.24
6901,2000-03-03,4.84
7491,2000-03-03,331.81
10451,2000-03-03,50.76
14467,2000-03-03,1.2
16229,2000-03-03,141.66
18663,2000-03-03,109.57
18945,2000-03-03,209.69
20756,2000-03-03,214.99
596,2000-03-04,176.64
769,2000-03-04,150.27
3771,2000-03-04,138.3
4660,2000-03-04,69.75
5901,2000-03-04,13.13
7562,2000-03-04,72.73
8669,2000-03-04,195.44
9416,2000-03-04,360.11
11717,2000-03-04,200.43
15093,2000-03-04,6.89
16818,2000-03-04,118.76
18751,2000-03-04,402.46
20638,2000-03-04,256.85
20789,2000-03-04,38.47
21921,2000-03-04,221.07
23927,2000-03-04,210.95
3575,2000-03-05,248.36
4188,2000-03-05,330.55
8956,2000-03-05,220.65
10048,2000-03-05,433.05
11041,2000-03-05,354.75
11155,2000-03-05,163.89
12805,2000-03-05,316
19814,2000-03-05,261.59
74,2000-03-06,122.83
711,2000-03-06,83.99
1097,2000-03-06,98.27
1766,2000-03-06,67.14
2684,2000-03-06,369.89
2993,2000-03-06,339.85
5230,2000-03-06,154.24
5277,2000-03-06,44.63
6426,2000-03-06,378.17
6887,2000-03-06,209.26
11433,2000-03-06,308.06
12588,2000-03-06,327.99
17854,2000-03-06,228.41
19083,2000-03-06,245.74
19287,2000-03-06,333.43
21162,2000-03-06,410.36
22200,2000-03-06,92.64
695,2000-03-07,200.13
2529,2000-03-07,177
4643,2000-03-07,330.87
5286,2000-03-07,82.7
19301,2000-03-07,124.53
22498,2000-03-07,60.8
23160,2000-03-07,259.17
24080,2000-03-07,76.75
321,2000-03-08,222.34
343,2000-03-08,113.68
1870,2000-03-08,158.92
2830,2000-03-08,228.39
2847,2000-03-08,75.96
2957,2000-03-08,49.33
3618,2000-03-08,40.04
4321,2000-03-08,9.56
4420,2000-03-08,306.09
4423,2000-03-08,360.67
7873,2000-03-08,79.39
10680,2000-03-08,188.67
10889,2000-03-08,173.74
11846,2000-03-08,88.54
20861,2000-03-08,260.15
21540,2000-03-08,479.05
21684,2000-03-08,41.98
22351,2000-03-08,276.36
2367,2000-03-09,87.7
3387,2000-03-09,238.39
4020,2000-03-09,72.55
4246,2000-03-09,11.93
4706,2000-03-09,162.42
5173,2000-03-09,176.68
5310,2000-03-09,5.77
5790,2000-03-09,60.69
6175,2000-03-09,168.97
9179,2000-03-09,117.86
9320,2000-03-09,104.72
9782,2000-03-09,5.81
13164,2000-03-09,2.82
16340,2000-03-09,171.73
18660,2000-03-09,121.06
2055,2000-03-10,125.55
3914,2000-03-10,295.89
4211,2000-03-10,71.9
4343,2000-03-10,41.09
5247,2000-03-10,322.44
9317,2000-03-10,99.73
15823,2000-03-10,243.37
19224,2000-03-10,245.23
21454,2000-03-10,267.88
22761,2000-03-10,142.91
2037,2000-03-11,427.71
4053,2000-03-11,35.88
4197,2000-03-11,229.27
4809,2000-03-11,91.65
4866,2000-03-11,173.04
5571,2000-03-11,118.05
8756,2000-03-11,312.18
9157,2000-03-11,181.34
11926,2000-03-11,134.6
14589,2000-03-11,451.63
16319,2000-03-11,207.36
19437,2000-03-11,436.32
20883,2000-03-11,303.37
20988,2000-03-11,364.53
22510,2000-03-11,251.31
23906,2000-03-11,53.54
16,2000-03-12,418.52
382,2000-03-12,74.4
1833,2000-03-12,154.71
3765,2000-03-12,154.22
3891,2000-03-12,5.94
4974,2000-03-12,234.93
5221,2000-03-12,417.71
6274,2000-03-12,204.07
8692,2000-03-12,187.01
9314,2000-03-12,260.98
12871,2000-03-12,327.02
13987,2000-03-12,345.32
15049,2000-03-12,7.96
20219,2000-03-12,85.93
22355,2000-03-12,442.64
23126,2000-03-12,421.61
23664,2000-03-12,98.99
819,2000-03-13,33.05
850,2000-03-13,198.94
1540,2000-03-13,125.48
5148,2000-03-13,177.25
5325,2000-03-13,56.3
6049,2000-03-13,87.61
6647,2000-03-13,142.35
9006,2000-03-13,126.23
9618,2000-03-13,145.4
9904,2000-03-13,120.18
10005,2000-03-13,102.58
11394,2000-03-13,274.13
13411,2000-03-13,365.91
